Unnamed: 0,text,created_at,text_token,text_token_s,text_si,text_sil
0,politics podcast: why democrats beat historical trends in 2022 https://t.co/evfr1x6ajt,2022-11-15 14:16:26+00:00,"['politics', 'podcast', 'why', 'democrats', 'beat', 'historical', 'trends', 'in', '2022', 'https', 't', 'co', 'evfr1x6ajt']","['politics', 'podcast', 'democrats', 'beat', 'historical', 'trends', '2022', 'evfr1x6ajt']",politics podcast democrats beat historical trends 2022 evfr1x6ajt,politics podcast democrats beat historical trends 2022 evfr1x6ajt
1,"the best nfl receivers, according to espn analytics: https://t.co/yej0whsyyo",2022-11-15 01:29:02+00:00,"['the', 'best', 'nfl', 'receivers', 'according', 'to', 'espn', 'analytics', 'https', 't', 'co', 'yej0whsyyo']","['best', 'nfl', 'receivers', 'according', 'espn', 'analytics', 'yej0whsyyo']",best nfl receivers according espn analytics yej0whsyyo,best nfl receivers according espn analytics yej0whsyyo
2,the colts hired jeff saturday as head coach. we have questions. https://t.co/0aylajpqaj,2022-11-15 00:45:06+00:00,"['the', 'colts', 'hired', 'jeff', 'saturday', 'as', 'head', 'coach', 'we', 'have', 'questions', 'https', 't', 'co', '0aylajpqaj']","['colts', 'hired', 'jeff', 'saturday', 'head', 'coach', 'questions', '0aylajpqaj']",colts hired jeff saturday head coach questions 0aylajpqaj,colts hired jeff saturday head coach questions 0aylajpqaj
3,"while many factors have influenced the midterm results, the overall trend suggests that playing to voters who deny the results of the 2020 election wasn’t a winning strategy by itself. https://t.co/eztoucxi2p",2022-11-14 23:43:02+00:00,"['while', 'many', 'factors', 'have', 'influenced', 'the', 'midterm', 'results', 'the', 'overall', 'trend', 'suggests', 'that', 'playing', 'to', 'voters', 'who', 'deny', 'the', 'results', 'of', 'the', '2020', 'election', 'wasn', 't', 'a', 'winning', 'strategy', 'by', 'itself', 'https', 't', 'co', 'eztoucxi2p']","['many', 'factors', 'influenced', 'midterm', 'results', 'overall', 'trend', 'suggests', 'playing', 'voters', 'deny', 'results', '2020', 'election', 'winning', 'strategy', 'eztoucxi2p']",many factors influenced midterm results overall trend suggests playing voters deny results 2020 election winning strategy eztoucxi2p,many factors influenced midterm results overall trend suggests playing voters deny results 2020 election winning strategy eztoucxi2p
4,our nba predictions: https://t.co/xhafm9ephk,2022-11-14 22:45:10+00:00,"['our', 'nba', 'predictions', 'https', 't', 'co', 'xhafm9ephk']","['nba', 'predictions', 'xhafm9ephk']",nba predictions xhafm9ephk,nba predictions xhafm9ephk
5,it's clear that the end of roe v. wade turned abortion access into one of the most salient issues in the country — which means you’re going to be hearing a lot more about it as the 2024 presidential campaign creaks into gear. https://t.co/ykfxblqrbf,2022-11-14 22:10:04+00:00,"['it', 's', 'clear', 'that', 'the', 'end', 'of', 'roe', 'v', 'wade', 'turned', 'abortion', 'access', 'into', 'one', 'of', 'the', 'most', 'salient', 'issues', 'in', 'the', 'country', 'which', 'means', 'you', 're', 'going', 'to', 'be', 'hearing', 'a', 'lot', 'more', 'about', 'it', 'as', 'the', '2024', 'presidential', 'campaign', 'creaks', 'into', 'gear', 'https', 't', 'co', 'ykfxblqrbf']","['clear', 'end', 'roe', 'v', 'wade', 'turned', 'abortion', 'access', 'one', 'salient', 'issues', 'country', 'means', 'going', 'hearing', 'lot', '2024', 'presidential', 'campaign', 'creaks', 'gear', 'ykfxblqrbf']",clear end roe wade turned abortion access one salient issues country means going hearing lot 2024 presidential campaign creaks gear ykfxblqrbf,clear end roe wade turned abortion access one salient issues country means going hearing lot 2024 presidential campaign creaks gear ykfxblqrbf
6,"our updating calculation of the president's approval rating accounts for each poll's quality, recency, sample size and partisan lean. https://t.co/0o2qgh4umz",2022-11-14 22:03:07+00:00,"['our', 'updating', 'calculation', 'of', 'the', 'president', 's', 'approval', 'rating', 'accounts', 'for', 'each', 'poll', 's', 'quality', 'recency', 'sample', 'size', 'and', 'partisan', 'lean', 'https', 't', 'co', '0o2qgh4umz']","['updating', 'calculation', 'president', 'approval', 'rating', 'accounts', 'poll', 'quality', 'recency', 'sample', 'size', 'partisan', 'lean', '0o2qgh4umz']",updating calculation president approval rating accounts poll quality recency sample size partisan lean 0o2qgh4umz,updating calculation president approval rating accounts poll quality recency sample size partisan lean 0o2qgh4umz
7,"justin jefferson grabbed some footballs, and the vikings grabbed some respect https://t.co/eq5rd50i46",2022-11-14 20:50:06+00:00,"['justin', 'jefferson', 'grabbed', 'some', 'footballs', 'and', 'the', 'vikings', 'grabbed', 'some', 'respect', 'https', 't', 'co', 'eq5rd50i46']","['justin', 'jefferson', 'grabbed', 'footballs', 'vikings', 'grabbed', 'respect', 'eq5rd50i46']",justin jefferson grabbed footballs vikings grabbed respect eq5rd50i46,justin jefferson grabbed footballs vikings grabbed respect eq5rd50i46
8,.@galendruke takes a look at the unresolved races that will determine control of the house: https://t.co/iwd5aj6atd,2022-11-14 20:27:41+00:00,"['galendruke', 'takes', 'a', 'look', 'at', 'the', 'unresolved', 'races', 'that', 'will', 'determine', 'control', 'of', 'the', 'house', 'https', 't', 'co', 'iwd5aj6atd']","['galendruke', 'takes', 'look', 'unresolved', 'races', 'determine', 'control', 'house', 'iwd5aj6atd']",galendruke takes look unresolved races determine control house iwd5aj6atd,galendruke takes look unresolved races determine control house iwd5aj6atd
9,do you buy that … sen. raphael warnock is favored in georgia’s senate runoff? with @natesilver538: https://t.co/vnobhf5qpr,2022-11-14 20:20:05+00:00,"['do', 'you', 'buy', 'that', 'sen', 'raphael', 'warnock', 'is', 'favored', 'in', 'georgia', 's', 'senate', 'runoff', 'with', 'natesilver538', 'https', 't', 'co', 'vnobhf5qpr']","['buy', 'sen', 'raphael', 'warnock', 'favored', 'georgia', 'senate', 'runoff', 'natesilver538', 'vnobhf5qpr']",buy sen raphael warnock favored georgia senate runoff natesilver538 vnobhf5qpr,buy sen raphael warnock favored georgia senate runoff natesilver538 vnobhf5qpr
