,text,edit_history_tweet_ids,created_at,id,author_id
0,Politics Podcast: Why Democrats beat historical trends in 2022 https://t.co/evfr1x6AJt,['1592521911765913600'],2022-11-15T14:16:26.000Z,1592521911765913600,2303751216
1,"The best NFL receivers, according to ESPN analytics: https://t.co/yeJ0WhsYyo",['1592328791904423939'],2022-11-15T01:29:02.000Z,1592328791904423939,2303751216
2,The Colts hired Jeff Saturday as head coach. We have questions. https://t.co/0AyLajPqaJ,['1592317734725074946'],2022-11-15T00:45:06.000Z,1592317734725074946,2303751216
3,"While many factors have influenced the midterm results, the overall trend suggests that playing to voters who deny the results of the 2020 election wasn’t a winning strategy by itself. https://t.co/ezTOuCXI2p",['1592302114083991553'],2022-11-14T23:43:02.000Z,1592302114083991553,2303751216
4,Our NBA predictions: https://t.co/xhAfM9epHk,['1592287550814789634'],2022-11-14T22:45:10.000Z,1592287550814789634,2303751216
5,It's clear that the end of Roe v. Wade turned abortion access into one of the most salient issues in the country — which means you’re going to be hearing a lot more about it as the 2024 presidential campaign creaks into gear. https://t.co/YkfxBlqrbF,['1592278720747667457'],2022-11-14T22:10:04.000Z,1592278720747667457,2303751216
6,"Our updating calculation of the president's approval rating accounts for each poll's quality, recency, sample size and partisan lean. https://t.co/0O2qgh4uMZ",['1592276969882017792'],2022-11-14T22:03:07.000Z,1592276969882017792,2303751216
7,"Justin Jefferson grabbed some footballs, and the Vikings grabbed some respect https://t.co/eQ5rd50i46",['1592258596187799555'],2022-11-14T20:50:06.000Z,1592258596187799555,2303751216
8,.@galendruke takes a look at the unresolved races that will determine control of the House: https://t.co/IwD5aJ6AtD,['1592252952596697088'],2022-11-14T20:27:41.000Z,1592252952596697088,2303751216
9,Do you buy that … Sen. Raphael Warnock is favored in Georgia’s Senate runoff? With @NateSilver538: https://t.co/VNobHf5Qpr,['1592251043131392001'],2022-11-14T20:20:05.000Z,1592251043131392001,2303751216
10,Arizona’s race for governor is still in suspense. #Election2022 https://t.co/MeyCpTSjvt,['1592235700220735489'],2022-11-14T19:19:07.000Z,1592235700220735489,2303751216
11,.@ABC is reporting that Republican Lori Chavez-DeRemer is projected to win Oregon’s 5th District. This light-blue seat is a big gain for Republicans. #Election2022 https://t.co/VTW9xZj8ti,['1592227444223787010'],2022-11-14T18:46:19.000Z,1592227444223787010,2303751216
12,"Voters almost universally rejected election deniers who ran for secretary of state, an office that is typically a state’s top election official and responsible for administering elections, enforcing election laws and certifying results. https://t.co/lwCf9YRFCe",['1592224622027546625'],2022-11-14T18:35:06.000Z,1592224622027546625,2303751216
13,"Democrats take control of the Senate, but the House is still too close to call: https://t.co/1EvNyhTLHn",['1592224325695938560'],2022-11-14T18:33:56.000Z,1592224325695938560,2303751216
14,"Welcome to our Unresolved Races live blog, where we will be updating you on all the elections where we don’t yet have a projected winner: https://t.co/fqE15NCURN",['1592204452165033991'],2022-11-14T17:14:57.000Z,1592204452165033991,2303751216
15,.@NateSilver538 breaks down the odds for the upcoming Georgia runoff election: https://t.co/UsB84bu9h5,['1592196142321704960'],2022-11-14T16:41:56.000Z,1592196142321704960,2303751216
16,Polls &gt; vibes https://t.co/h17IMsxA7D,['1592189055650828288'],2022-11-14T16:13:46.000Z,1592189055650828288,2303751216
17,Does trading for an NBA star work? It's complicated. https://t.co/nNRiWcD4Cx,['1592175786429120514'],2022-11-14T15:21:03.000Z,1592175786429120514,2303751216
18,The midterm election results look like a striking rebuke of the Supreme Court's decision to overturn Roe v. Wade. https://t.co/JwQE834c7H,['1592166737599946756'],2022-11-14T14:45:05.000Z,1592166737599946756,2303751216
19,Denying the 2020 election wasn’t a winning strategy for political newcomers https://t.co/v5idm0xVaG,['1592159553918885888'],2022-11-14T14:16:33.000Z,1592159553918885888,2303751216
20,"Last night, ABC News reported that Catherine Cortez Masto is projected to win Nevada’s Senate race, defeating Republican Adam Laxalt. 

That gives Democrats 50 seats and a Senate majority with Vice President Harris’s vote. https://t.co/1ncMQIuUQW",['1591820292451606528'],2022-11-13T15:48:26.000Z,1591820292451606528,2303751216
