Unnamed: 0,created_at,text,text_token,text_token_s,text_si,text_sil
0,2022-11-15 14:26:03+00:00,"wired
easy to set up. snappy interface. great remote. supports nearly every streaming service. can pair with two pairs of airpods for quiet viewing. 

tired
pricier than peers. not as great if you’re not in apple’s ecosystem. https://t.co/u9ef0ieji4","['wired', 'easy', 'to', 'set', 'up', 'snappy', 'interface', 'great', 'remote', 'supports', 'nearly', 'every', 'streaming', 'service', 'can', 'pair', 'with', 'two', 'pairs', 'of', 'airpods', 'for', 'quiet', 'viewing', 'tired', 'pricier', 'than', 'peers', 'not', 'as', 'great', 'if', 'you', 're', 'not', 'in', 'apple', 's', 'ecosystem', 'https', 't', 'co', 'u9ef0ieji4']","['wired', 'easy', 'set', 'snappy', 'interface', 'great', 'remote', 'supports', 'nearly', 'every', 'streaming', 'service', 'pair', 'two', 'pairs', 'airpods', 'quiet', 'viewing', 'tired', 'pricier', 'peers', 'great', 'apple', 'ecosystem', 'u9ef0ieji4']",wired easy set snappy interface great remote supports nearly every streaming service pair two pairs airpods quiet viewing tired pricier peers great apple ecosystem u9ef0ieji4,wired easy set snappy interface great remote supports nearly every streaming service pair two pairs airpods quiet viewing tired pricier peers great apple ecosystem u9ef0ieji4
1,2022-11-15 14:06:05+00:00,"larp, short for live action role playing, might sound like fun. but it has the power to transform people's real lives. https://t.co/kecba3mkg9","['larp', 'short', 'for', 'live', 'action', 'role', 'playing', 'might', 'sound', 'like', 'fun', 'but', 'it', 'has', 'the', 'power', 'to', 'transform', 'people', 's', 'real', 'lives', 'https', 't', 'co', 'kecba3mkg9']","['larp', 'short', 'live', 'action', 'role', 'playing', 'might', 'sound', 'like', 'fun', 'power', 'transform', 'people', 'real', 'lives', 'kecba3mkg9']",larp short live action role playing might sound like fun power transform people real lives kecba3mkg9,larp short live action role playing might sound like fun power transform people real lives kecba3mkg9
2,2022-11-15 13:36:02+00:00,"wired’s editor in chief gideon lichfield mulls what lies in store for elon musk and sam bankman-fried, plus more thoughts on the past week’s headlines. https://t.co/cppftwoidi","['wired', 's', 'editor', 'in', 'chief', 'gideon', 'lichfield', 'mulls', 'what', 'lies', 'in', 'store', 'for', 'elon', 'musk', 'and', 'sam', 'bankman', 'fried', 'plus', 'more', 'thoughts', 'on', 'the', 'past', 'week', 's', 'headlines', 'https', 't', 'co', 'cppftwoidi']","['wired', 'editor', 'chief', 'gideon', 'lichfield', 'mulls', 'lies', 'store', 'elon', 'musk', 'sam', 'bankman', 'fried', 'plus', 'thoughts', 'past', 'week', 'headlines', 'cppftwoidi']",wired editor chief gideon lichfield mulls lies store elon musk sam bankman fried plus thoughts past week headlines cppftwoidi,wired editor chief gideon lichfield mulls lies store elon musk sam bankman fried plus thoughts past week headlines cppftwoidi
3,2022-11-15 13:01:01+00:00,"can you guess what this is? this unbelievable photo is actually the unburned particles of carbon released when the hydrocarbon chain of candle wax breaks down. it placed in the top 10 in this year's small world photomicrography competition.

📸: ole bielfeldt https://t.co/cflwofwgwk","['can', 'you', 'guess', 'what', 'this', 'is', 'this', 'unbelievable', 'photo', 'is', 'actually', 'the', 'unburned', 'particles', 'of', 'carbon', 'released', 'when', 'the', 'hydrocarbon', 'chain', 'of', 'candle', 'wax', 'breaks', 'down', 'it', 'placed', 'in', 'the', 'top', '10', 'in', 'this', 'year', 's', 'small', 'world', 'photomicrography', 'competition', 'ole', 'bielfeldt', 'https', 't', 'co', 'cflwofwgwk']","['guess', 'unbelievable', 'photo', 'actually', 'unburned', 'particles', 'carbon', 'released', 'hydrocarbon', 'chain', 'candle', 'wax', 'breaks', 'placed', 'top', '10', 'year', 'small', 'world', 'photomicrography', 'competition', 'ole', 'bielfeldt', 'cflwofwgwk']",guess unbelievable photo actually unburned particles carbon released hydrocarbon chain candle wax breaks placed top year small world photomicrography competition ole bielfeldt cflwofwgwk,guess unbelievable photo actually unburned particles carbon released hydrocarbon chain candle wax breaks placed top year small world photomicrography competition ole bielfeldt cflwofwgwk
4,2022-11-15 12:05:27+00:00,"europe’s cities are growing denser once more—and providing a potential boon for the environment and our well-being in the process. american cities, take note. via @wireduk https://t.co/snonaib9a1","['europe', 's', 'cities', 'are', 'growing', 'denser', 'once', 'more', 'and', 'providing', 'a', 'potential', 'boon', 'for', 'the', 'environment', 'and', 'our', 'well', 'being', 'in', 'the', 'process', 'american', 'cities', 'take', 'note', 'via', 'wireduk', 'https', 't', 'co', 'snonaib9a1']","['europe', 'cities', 'growing', 'denser', 'providing', 'potential', 'boon', 'environment', 'well', 'process', 'american', 'cities', 'take', 'note', 'via', 'wireduk', 'snonaib9a1']",europe cities growing denser providing potential boon environment well process american cities take note via wireduk snonaib9a1,europe cities growing denser providing potential boon environment well process american cities take note via wireduk snonaib9a1
5,2022-11-15 11:29:05+00:00,"it’s the most stressful time of the year, so do yourself a favor and buy those holiday gifts early.  

from a tricked-out ebike to speakers that sound like a dream, these are all the presents you’ll need to supercharge the holidays. https://t.co/ugte8z4wfx","['it', 's', 'the', 'most', 'stressful', 'time', 'of', 'the', 'year', 'so', 'do', 'yourself', 'a', 'favor', 'and', 'buy', 'those', 'holiday', 'gifts', 'early', 'from', 'a', 'tricked', 'out', 'ebike', 'to', 'speakers', 'that', 'sound', 'like', 'a', 'dream', 'these', 'are', 'all', 'the', 'presents', 'you', 'll', 'need', 'to', 'supercharge', 'the', 'holidays', 'https', 't', 'co', 'ugte8z4wfx']","['stressful', 'time', 'year', 'favor', 'buy', 'holiday', 'gifts', 'early', 'tricked', 'ebike', 'speakers', 'sound', 'like', 'dream', 'presents', 'need', 'supercharge', 'holidays', 'ugte8z4wfx']",stressful time year favor buy holiday gifts early tricked ebike speakers sound like dream presents need supercharge holidays ugte8z4wfx,stressful time year favor buy holiday gifts early tricked ebike speakers sound like dream presents need supercharge holidays ugte8z4wfx
6,2022-11-15 11:04:37+00:00,"in part 4 of @a_greenberg’s series, the team uses a secret technique to locate alphabay’s server. but just as the operation heats up, the agents have an unexpected run-in with their target.  https://t.co/j80mga7n8q","['in', 'part', '4', 'of', 'a_greenberg', 's', 'series', 'the', 'team', 'uses', 'a', 'secret', 'technique', 'to', 'locate', 'alphabay', 's', 'server', 'but', 'just', 'as', 'the', 'operation', 'heats', 'up', 'the', 'agents', 'have', 'an', 'unexpected', 'run', 'in', 'with', 'their', 'target', 'https', 't', 'co', 'j80mga7n8q']","['part', '4', 'a_greenberg', 'series', 'team', 'uses', 'secret', 'technique', 'locate', 'alphabay', 'server', 'operation', 'heats', 'agents', 'unexpected', 'run', 'target', 'j80mga7n8q']",part a_greenberg series team uses secret technique locate alphabay server operation heats agents unexpected run target j80mga7n8q,part a_greenberg series team uses secret technique locate alphabay server operation heats agents unexpected run target j80mga7n8q
7,2022-11-15 10:07:03+00:00,"dive into 2023 with predictions from jennifer doudna, ellen macarthur and more. the wired world 2023 is your exclusive guide to the year ahead. 

click here to grab your copy: https://t.co/iuvpyqe2mc

🎨: oliver hazelwood https://t.co/vok7tacusf","['dive', 'into', '2023', 'with', 'predictions', 'from', 'jennifer', 'doudna', 'ellen', 'macarthur', 'and', 'more', 'the', 'wired', 'world', '2023', 'is', 'your', 'exclusive', 'guide', 'to', 'the', 'year', 'ahead', 'click', 'here', 'to', 'grab', 'your', 'copy', 'https', 't', 'co', 'iuvpyqe2mc', 'oliver', 'hazelwood', 'https', 't', 'co', 'vok7tacusf']","['dive', '2023', 'predictions', 'jennifer', 'doudna', 'ellen', 'macarthur', 'wired', 'world', '2023', 'exclusive', 'guide', 'year', 'ahead', 'click', 'grab', 'copy', 'iuvpyqe2mc', 'oliver', 'hazelwood', 'vok7tacusf']",dive 2023 predictions jennifer doudna ellen macarthur wired world 2023 exclusive guide year ahead click grab copy iuvpyqe2mc oliver hazelwood vok7tacusf,dive 2023 predictions jennifer doudna ellen macarthur wired world 2023 exclusive guide year ahead click grab copy iuvpyqe2mc oliver hazelwood vok7tacusf
8,2022-11-15 09:00:50+00:00,"a growing movement to write software in a language called rust is gaining momentum because the code is goof-proof in an important way: https://t.co/cufmvxui6a

🎨 : jacqui vanliew https://t.co/bdxmia0qjw","['a', 'growing', 'movement', 'to', 'write', 'software', 'in', 'a', 'language', 'called', 'rust', 'is', 'gaining', 'momentum', 'because', 'the', 'code', 'is', 'goof', 'proof', 'in', 'an', 'important', 'way', 'https', 't', 'co', 'cufmvxui6a', 'jacqui', 'vanliew', 'https', 't', 'co', 'bdxmia0qjw']","['growing', 'movement', 'write', 'software', 'language', 'called', 'rust', 'gaining', 'momentum', 'code', 'goof', 'proof', 'important', 'way', 'cufmvxui6a', 'jacqui', 'vanliew', 'bdxmia0qjw']",growing movement write software language called rust gaining momentum code goof proof important way cufmvxui6a jacqui vanliew bdxmia0qjw,growing movement write software language called rust gaining momentum code goof proof important way cufmvxui6a jacqui vanliew bdxmia0qjw
9,2022-11-15 08:35:17+00:00,"""you get what you pay for"" is a beguiling phrase. it's also not always true. (from 2021) https://t.co/xmktsakhoq","['you', 'get', 'what', 'you', 'pay', 'for', 'is', 'a', 'beguiling', 'phrase', 'it', 's', 'also', 'not', 'always', 'true', 'from', '2021', 'https', 't', 'co', 'xmktsakhoq']","['get', 'pay', 'beguiling', 'phrase', 'also', 'always', 'true', '2021', 'xmktsakhoq']",get pay beguiling phrase also always true 2021 xmktsakhoq,get pay beguiling phrase also always true 2021 xmktsakhoq
10,2022-11-15 07:35:49+00:00,"no, they're not day-trading doge on robinhood. https://t.co/sh0x0jg2vq","['no', 'they', 're', 'not', 'day', 'trading', 'doge', 'on', 'robinhood', 'https', 't', 'co', 'sh0x0jg2vq']","['day', 'trading', 'doge', 'robinhood', 'sh0x0jg2vq']",day trading doge robinhood sh0x0jg2vq,day trading doge robinhood sh0x0jg2vq
11,2022-11-15 07:00:00+00:00,"who hasn't created a silly username as a teen? but only arun maini, better known as @mrwhosetheboss, gained 12 million subscribers and now has to answer our questions about said username in his wired autocomplete interview: https://t.co/ofdmkssxzw","['who', 'hasn', 't', 'created', 'a', 'silly', 'username', 'as', 'a', 'teen', 'but', 'only', 'arun', 'maini', 'better', 'known', 'as', 'mrwhosetheboss', 'gained', '12', 'million', 'subscribers', 'and', 'now', 'has', 'to', 'answer', 'our', 'questions', 'about', 'said', 'username', 'in', 'his', 'wired', 'autocomplete', 'interview', 'https', 't', 'co', 'ofdmkssxzw']","['created', 'silly', 'username', 'teen', 'arun', 'maini', 'better', 'known', 'mrwhosetheboss', 'gained', '12', 'million', 'subscribers', 'answer', 'questions', 'said', 'username', 'wired', 'autocomplete', 'interview', 'ofdmkssxzw']",created silly username teen arun maini better known mrwhosetheboss gained million subscribers answer questions said username wired autocomplete interview ofdmkssxzw,created silly username teen arun maini better known mrwhosetheboss gained million subscribers answer questions said username wired autocomplete interview ofdmkssxzw
12,2022-11-15 06:36:04+00:00,"what's really going on with the mysterious ""no-vid""?  https://t.co/uawabq8txn","['what', 's', 'really', 'going', 'on', 'with', 'the', 'mysterious', 'no', 'vid', 'https', 't', 'co', 'uawabq8txn']","['really', 'going', 'mysterious', 'vid', 'uawabq8txn']",really going mysterious vid uawabq8txn,really going mysterious vid uawabq8txn
13,2022-11-15 05:37:06+00:00,"the tragrdy of alan moore, if there is one, is that his 1980s comics work—watchmen, v for vendetta—has been perpetually misunderstood by an audience too eager to learn the wrong lessons. https://t.co/dag1dezoli","['the', 'tragrdy', 'of', 'alan', 'moore', 'if', 'there', 'is', 'one', 'is', 'that', 'his', '1980s', 'comics', 'work', 'watchmen', 'v', 'for', 'vendetta', 'has', 'been', 'perpetually', 'misunderstood', 'by', 'an', 'audience', 'too', 'eager', 'to', 'learn', 'the', 'wrong', 'lessons', 'https', 't', 'co', 'dag1dezoli']","['tragrdy', 'alan', 'moore', 'one', '1980s', 'comics', 'work', 'watchmen', 'v', 'vendetta', 'perpetually', 'misunderstood', 'audience', 'eager', 'learn', 'wrong', 'lessons', 'dag1dezoli']",tragrdy alan moore one 1980s comics work watchmen vendetta perpetually misunderstood audience eager learn wrong lessons dag1dezoli,tragrdy alan moore one 1980s comics work watchmen vendetta perpetually misunderstood audience eager learn wrong lessons dag1dezoli
